,equity
2017-01-13,157939.9219123408
2017-01-17,156141.70706991048
2017-01-18,156835.07103525335
2017-01-19,157930.69659393615
2017-01-20,158067.35746396688
2017-01-23,158869.09327732655
2017-01-24,160332.98858938494
2017-01-25,160722.58930749726
2017-01-26,161023.832510345
2017-01-27,162250.72641158514
2017-01-30,162004.59576961029
2017-01-31,161547.12370636125
2017-02-01,164210.33441392943
2017-02-02,164060.96534389706
2017-02-03,164308.06724089157
2017-02-06,165237.69481329134
2017-02-07,166141.91627405715
2017-02-08,166979.6222964931
2017-02-09,167732.38838850003
2017-02-10,167481.68346551893
2017-02-13,167807.16152989227
2017-02-14,168559.0956135526
2017-02-15,168966.88950644838
2017-02-16,167644.6262527369
2017-02-17,168199.32160026635
2017-02-21,170053.50056437845
2017-02-22,170052.41406292527
2017-02-23,166923.66144314685
2017-02-24,167567.3801850081
2017-02-27,166625.7451482072
2017-02-28,166252.06577079665
2017-03-01,167992.90259829556
2017-03-02,167437.6358745758
2017-03-03,167633.72211998433
2017-03-06,167100.2256082131
2017-03-07,167162.71298231292
2017-03-08,167049.90238033413
2017-03-09,167001.8500156193
2017-03-10,167327.90558141272
2017-03-13,167495.33116028848
2017-03-14,167629.2536592331
2017-03-15,168183.24597039743
2017-03-16,168364.65680810757
2017-03-17,168393.5844837304
2017-03-20,168696.29756360594
2017-03-21,167329.69295277094
2017-03-22,168226.06471223978
2017-03-23,168148.63165674818
2017-03-24,168099.0212754456
2017-03-27,167729.08353899978
2017-03-28,168766.8111188311
2017-03-29,168753.4756073312
2017-03-30,168797.9708285748
2017-03-31,168664.8466167039
2017-04-03,168571.9580989362
2017-04-04,169296.73055497985
2017-04-05,168473.92858529143
2017-04-06,168694.55903205957
2017-04-07,168739.7057523512
2017-04-10,169745.4797703586
2017-04-11,169167.87258877093
2017-04-12,168518.08665001296
2017-04-13,168375.40735829857
2017-04-17,168974.11065432863
2017-04-18,169452.25797187164
2017-04-19,169173.90220113168
2017-04-20,169605.43529734868
2017-04-21,169621.99406083493
2017-04-24,170377.04403258377
2017-04-25,171285.8197283955
2017-04-26,169947.9506848419
2017-04-27,169909.1649620076
2017-04-28,170404.4260325448
2017-05-01,171968.27560701902
2017-05-02,171922.70286788547
2017-05-03,170245.85351545815
2017-05-04,169042.59585855395
2017-05-05,169939.19960915917
2017-05-08,171187.99322028214
2017-05-09,171374.85247971464
2017-05-10,171441.08766879927
2017-05-11,173163.93744472784
2017-05-12,174569.93537625292
2017-05-15,176177.18989585195
2017-05-16,176733.52543138876
2017-05-17,172155.26305230707
2017-05-18,173601.00387651796
2017-05-19,174693.16726045735
2017-05-22,176883.8144481607
2017-05-23,176666.65321101245
2017-05-24,178158.0407478262
2017-05-25,179638.22902500068
2017-05-26,179757.03353264043
2017-05-30,180473.53071727432
2017-05-31,179556.60473999663
2017-06-01,179958.8880285835
2017-06-02,181363.9823671362
2017-06-05,182030.761096159
2017-06-06,181791.44086535968
2017-06-07,182237.05297595763
2017-06-08,183405.5527914786
2017-06-09,174983.07805042568
2017-06-12,174665.1582061032
2017-06-13,176552.4550481747
2017-06-14,177102.1255153058
2017-06-15,176727.21106335896
2017-06-16,176827.18444202904
2017-06-19,178335.3451287704
2017-06-20,178813.2733603617
2017-06-21,180209.38728865414
2017-06-22,180451.76849231427
2017-06-23,180399.8160340549
2017-06-26,179739.15350162043
2017-06-27,176555.1860380138
2017-06-28,178228.67046034968
2017-06-29,175336.02726247822
2017-06-30,174996.56236972177
2017-07-03,173312.00048931522
2017-07-05,174050.6221024199
2017-07-06,173330.76956481783
2017-07-07,173886.27018784804
2017-07-10,173662.47383841593
2017-07-11,173317.6582901766
2017-07-12,173957.79132317528
2017-07-13,174048.65588441904
2017-07-14,174164.2516303517
2017-07-17,173732.43539449398
2017-07-18,174922.78321050588
2017-07-19,175841.0298653046
2017-07-20,176101.08436400408
2017-07-21,177003.2527606199
2017-07-24,177680.80503966162
2017-07-25,177507.11948923703
2017-07-26,178221.78634394112
2017-07-27,176936.0981436591
2017-07-28,177413.4365562033
2017-07-31,176721.82531850142
2017-08-01,178046.74503595894
2017-08-02,177886.4598429648
2017-08-03,177242.55688159473
2017-08-04,178109.38706943102
2017-08-07,179274.92004763562
2017-08-08,178385.4060275608
2017-08-09,178025.49884598822
2017-08-10,174454.98725741875
2017-08-11,174340.80446704762
2017-08-14,175941.97567564802
2017-08-15,176356.54478142704
2017-08-16,175981.18913987683
2017-08-17,172840.87655499563
2017-08-18,172935.81835879284
2017-08-21,173502.23782635905
2017-08-22,175432.49593999638
2017-08-23,174696.06272927567
2017-08-24,174287.69567279328
2017-08-25,174306.5100120532
2017-08-28,175076.0677597958
2017-08-29,175017.96535391296
2017-08-30,175447.75735465757
2017-08-31,175852.15344990313
2017-09-01,176050.64784327644
2017-09-05,175195.54646150908
2017-09-06,174968.88689267013
2017-09-07,176051.36426865798
2017-09-08,175304.2677977974
2017-09-11,177353.54596471938
2017-09-12,176794.33197904474
2017-09-13,175928.38852786768
2017-09-14,175316.76278238668
2017-09-15,175310.46297686352
2017-09-18,175875.68379986277
2017-09-19,175589.0339015578
2017-09-20,173394.18531184978
2017-09-21,172971.57275075343
2017-09-22,172229.18129054274
2017-09-25,170358.58103252045
2017-09-26,170370.72268795857
2017-09-27,170425.68874656892
2017-09-28,170754.0001876447
2017-09-29,171391.46788817254
2017-10-02,171536.33881944796
2017-10-03,171988.7895966441
2017-10-04,171802.67132924404
2017-10-05,172561.5776414037
2017-10-06,173165.89258694925
2017-10-09,173237.09469978767
2017-10-10,172885.053200628
2017-10-11,173476.28147961182
2017-10-12,172921.8789446152
2017-10-13,173755.27985464383
2017-10-16,174211.30327751237
2017-10-17,173479.99038850117
2017-10-18,172966.91034893744
2017-10-19,172789.21325771982
2017-10-20,173567.33557441822
2017-10-23,173782.21968397076
2017-10-24,175146.09365049165
2017-10-25,174847.12273188567
2017-10-26,175565.5984886118
2017-10-27,176274.07538390488
2017-10-30,175346.0525331573
2017-10-31,175214.9634408764
2017-11-01,176418.8398728428
2017-11-02,174798.99785731646
2017-11-03,175142.85685502566
2017-11-06,175777.5214891008
2017-11-07,175242.82934680354
2017-11-08,175371.00868285252
2017-11-09,174257.56547664411
2017-11-10,173830.00030363895
2017-11-13,173243.8441888809
2017-11-14,173310.03894831004
2017-11-15,171661.69747308944
2017-11-16,174852.0804934818
2017-11-17,174477.35899514746
2017-11-20,175330.86986442943
2017-11-21,177316.32860022155
